iter	Passed	Remaining
0	61	61166
1	62	31018
2	62	20858
3	63	15747
4	64	12742
5	64	10702
6	65	9344
7	66	8237
8	66	7372
9	67	6677
10	68	6117
11	68	5679
12	69	5275
13	70	4931
14	70	4633
15	71	4374
16	71	4147
17	72	3950
18	73	3775
19	73	3618
20	74	3473
21	75	3338
22	75	3212
23	76	3098
24	76	2992
25	77	2893
26	77	2801
27	78	2718
28	78	2641
29	79	2568
30	80	2501
31	80	2436
32	81	2378
33	81	2322
34	82	2268
35	82	2216
36	83	2168
37	83	2122
38	84	2080
39	84	2038
40	85	1998
41	86	1961
42	86	1925
43	87	1891
44	87	1863
45	88	1827
46	88	1797
47	89	1767
48	89	1741
49	90	1714
50	90	1683
51	90	1658
52	91	1635
53	92	1613
54	92	1591
55	93	1570
56	93	1545
57	93	1524
58	94	1506
59	94	1487
60	95	1469
61	96	1455
62	96	1438
63	97	1420
64	97	1403
65	98	1389
66	98	1374
67	99	1358
68	99	1344
69	100	1330
70	100	1317
71	101	1305
72	101	1293
73	102	1281
74	103	1270
75	103	1259
76	104	1248
77	104	1237
78	104	1222
79	105	1211
80	105	1201
81	106	1192
82	107	1182
83	107	1172
84	108	1163
85	108	1153
86	109	1145
87	109	1136
88	110	1127
89	110	1118
90	111	1110
91	111	1104
92	112	1097
93	113	1089
94	113	1082
95	114	1075
96	114	1068
97	115	1060
98	115	1053
99	116	1046
100	116	1039
101	117	1033
102	117	1026
103	118	1020
104	118	1014
105	119	1008
106	120	1002
107	120	997
108	122	998
109	122	991
110	122	983
111	123	976
112	123	969
113	123	961
114	124	956
115	124	950
116	125	945
117	125	940
118	126	935
119	126	930
120	127	926
121	128	924
122	129	922
123	130	918
124	130	914
125	131	909
126	131	905
127	132	899
128	132	895
129	133	891
130	133	886
131	134	882
132	134	877
133	135	875
134	136	873
135	136	868
136	137	865
137	137	859
138	138	855
139	138	851
140	138	845
141	139	842
142	139	838
143	140	835
144	140	829
145	141	826
146	141	822
147	142	818
148	142	814
149	143	811
150	143	807
151	144	804
152	144	802
153	145	799
154	146	796
155	146	791
156	146	788
157	147	785
158	147	781
159	148	778
160	148	775
161	149	772
162	149	769
163	150	767
164	151	764
165	151	762
166	152	763
167	153	759
168	154	757
169	154	755
170	155	752
171	155	749
172	156	747
173	156	744
174	157	741
175	157	739
176	158	737
177	159	734
178	159	732
179	160	730
180	160	727
181	161	725
182	161	722
183	162	720
184	163	718
185	163	715
186	164	713
187	164	711
188	165	709
189	165	705
190	166	703
191	166	701
192	167	699
193	167	697
194	168	695
195	169	694
196	169	692
197	170	690
198	170	688
199	171	685
200	172	683
201	172	681
202	173	679
203	173	677
204	174	675
205	174	674
206	175	671
207	175	668
208	176	666
209	176	664
210	177	662
211	177	661
212	178	659
213	178	657
214	179	655
215	179	653
216	180	651
217	181	649
218	181	648
219	182	646
220	182	644
221	183	642
222	183	641
223	184	639
224	185	637
225	185	635
226	186	633
227	186	632
228	187	630
229	187	628
230	188	626
231	188	624
232	189	623
233	189	621
234	190	619
235	190	618
236	191	616
237	191	614
238	192	612
239	193	611
240	193	609
241	194	608
242	194	606
243	195	604
244	195	603
245	196	601
246	196	599
247	197	598
248	197	596
249	198	595
250	199	594
251	199	592
252	200	591
253	200	589
254	201	587
255	201	586
256	202	584
257	202	583
258	203	581
259	203	579
260	204	578
261	204	577
262	205	575
263	206	574
264	206	572
265	207	571
266	207	569
267	208	568
268	208	566
269	209	565
270	209	564
271	210	562
272	210	561
273	211	559
274	211	558
275	212	556
276	212	555
277	213	553
278	213	552
279	214	550
280	214	549
281	215	548
282	215	547
283	216	545
284	216	544
285	217	542
286	217	541
287	218	540
288	218	538
289	219	537
290	219	535
291	220	534
292	220	533
293	221	532
294	222	530
295	222	529
296	223	528
297	223	527
298	224	526
299	225	525
300	225	524
301	226	523
302	226	521
303	227	520
304	227	519
305	228	517
306	228	516
307	229	515
308	229	513
309	230	512
310	230	511
311	231	510
312	232	509
313	232	508
314	233	507
315	233	505
316	234	504
317	234	503
318	235	502
319	235	501
320	236	499
321	237	499
322	237	498
323	238	496
324	238	495
325	239	494
326	239	493
327	240	492
328	241	491
329	241	490
330	242	489
331	242	488
332	243	487
333	243	485
334	244	484
335	244	483
336	245	482
337	245	481
338	246	480
339	246	478
340	247	477
341	247	476
342	248	476
343	249	475
344	249	474
345	250	473
346	250	471
347	251	470
348	251	469
349	252	468
350	253	467
351	253	467
352	254	466
353	254	465
354	255	464
355	256	463
356	256	462
357	257	461
358	257	460
359	258	459
360	259	458
361	259	458
362	260	457
363	261	456
364	261	455
365	262	454
366	262	453
367	263	452
368	264	452
369	265	451
370	265	450
371	266	450
372	267	449
373	268	448
374	268	447
375	269	446
376	269	445
377	270	445
378	271	444
379	271	443
380	272	442
381	273	442
382	273	441
383	274	440
384	275	439
385	275	438
386	276	437
387	277	437
388	277	436
389	278	435
390	278	434
391	279	433
392	280	432
393	280	431
394	281	431
395	282	430
396	282	429
397	283	428
398	283	427
399	284	426
400	284	425
401	285	424
402	285	423
403	286	422
404	286	421
405	287	420
406	288	419
407	288	418
408	289	417
409	289	417
410	290	416
411	291	415
412	291	414
413	292	413
414	292	412
415	293	411
416	293	410
417	294	409
418	294	408
419	295	407
420	295	407
421	296	406
422	297	405
423	297	404
424	298	403
425	298	402
426	299	401
427	300	400
428	300	399
429	301	399
430	301	398
431	302	397
432	302	396
433	303	395
434	303	394
435	304	393
436	304	392
437	305	391
438	305	390
439	306	389
440	306	388
441	307	388
442	307	387
443	308	386
444	308	385
445	309	384
446	310	383
447	310	382
448	311	382
449	311	381
450	312	380
451	313	379
452	313	378
453	314	378
454	314	377
455	315	376
456	315	375
457	316	374
458	316	373
459	317	372
460	317	371
461	318	370
462	319	370
463	320	369
464	320	369
465	321	368
466	322	367
467	322	366
468	323	365
469	323	364
470	324	364
471	324	363
472	325	362
473	325	361
474	326	360
475	326	359
476	327	358
477	327	357
478	328	357
479	328	356
480	329	355
481	330	355
482	331	354
483	331	353
484	332	352
485	332	352
486	333	351
487	333	350
488	334	349
489	334	348
490	335	347
491	335	346
492	336	346
493	336	345
494	337	344
495	337	343
496	338	342
497	339	341
498	339	340
499	340	340
500	340	339
501	341	338
502	341	337
503	342	336
504	342	335
505	343	335
506	343	334
507	344	333
508	344	332
509	345	331
510	345	330
511	346	330
512	346	329
513	347	328
514	347	327
515	348	326
516	348	325
517	349	325
518	350	324
519	350	323
520	351	322
521	351	322
522	352	321
523	352	320
524	353	319
525	353	318
526	354	318
527	355	317
528	356	317
529	356	316
530	357	315
531	357	314
532	358	313
533	358	312
534	359	312
535	359	311
536	360	310
537	360	309
538	361	309
539	361	308
540	362	307
541	363	306
542	363	305
543	364	305
544	364	304
545	365	303
546	365	302
547	366	302
548	366	301
549	367	300
550	367	299
551	368	298
552	368	298
553	369	297
554	370	296
555	370	296
556	371	295
557	372	295
558	374	295
559	375	295
560	376	294
561	378	295
562	379	294
563	380	294
564	381	294
565	382	293
566	383	293
567	385	293
568	386	292
569	387	292
570	388	291
571	389	291
572	390	290
573	390	290
574	391	289
575	392	289
576	394	288
577	395	288
578	396	288
579	397	287
580	398	287
581	399	286
582	400	286
583	400	285
584	401	285
585	402	284
586	403	283
587	403	282
588	404	282
589	405	281
590	405	280
591	406	279
592	406	279
593	407	278
594	408	277
595	409	277
596	409	276
597	410	275
598	411	275
599	411	274
600	412	273
601	413	273
602	413	272
603	414	271
604	414	270
605	415	270
606	416	269
607	416	268
608	417	268
609	418	267
610	419	266
611	419	266
612	420	265
613	421	264
614	421	264
615	422	263
616	423	262
617	423	262
618	424	261
619	425	260
620	425	259
621	426	259
622	427	258
623	428	258
624	428	257
625	429	256
626	430	255
627	430	255
628	431	254
629	432	254
630	433	253
631	434	252
632	434	251
633	435	251
634	435	250
635	436	249
636	437	249
637	437	248
638	438	247
639	439	247
640	440	246
641	441	246
642	442	245
643	442	244
644	443	243
645	443	243
646	444	242
647	444	241
648	445	240
649	446	240
650	446	239
651	447	238
652	447	237
653	448	237
654	448	236
655	449	235
656	450	235
657	451	234
658	451	233
659	452	232
660	452	232
661	453	231
662	453	230
663	454	229
664	454	229
665	455	228
666	456	227
667	456	227
668	457	226
669	458	225
670	458	224
671	460	224
672	461	224
673	461	223
674	462	222
675	462	221
676	463	221
677	464	220
678	464	219
679	465	219
680	466	218
681	466	217
682	467	217
683	468	216
684	469	215
685	470	215
686	470	214
687	471	213
688	471	212
689	472	212
690	473	211
691	474	211
692	475	210
693	475	209
694	476	209
695	477	208
696	477	207
697	478	207
698	479	206
699	479	205
700	480	204
701	480	204
702	481	203
703	482	202
704	482	202
705	483	201
706	483	200
707	484	199
708	485	199
709	485	198
710	486	197
711	486	196
712	487	196
713	488	195
714	488	194
715	489	194
716	489	193
717	490	192
718	491	191
719	491	191
720	492	190
721	493	189
722	493	189
723	494	188
724	495	187
725	495	187
726	496	186
727	497	185
728	497	185
729	498	184
730	499	183
731	499	182
732	500	182
733	500	181
734	501	180
735	502	180
736	502	179
737	503	178
738	503	177
739	504	177
740	505	176
741	505	175
